chrI	2164	2171	8
chrI	2171	2231	9
chrI	2231	2235	11
chrI	2235	2328	12
chrI	2328	2388	11
chrI	2388	2389	17
chrI	2389	2392	18
chrI	2392	2393	17
chrI	2393	2396	18
chrI	2396	2412	19
chrI	2412	2416	18
chrI	2416	2417	17
chrI	2417	2431	10
chrI	2431	2476	9
chrI	2476	2606	8
chrI	2606	2664	7
chrI	9116	9140	1
chrI	9140	9143	2
chrI	9143	9159	3
chrI	9159	9264	4
chrI	9639	9707	1
chrI	9707	9732	2
chrI	9732	9842	3
chrI	9842	9843	4
chrI	9843	9846	24
chrI	9846	9858	25
chrI	9858	9864	24
chrI	9864	9865	23
chrI	9865	9950	22
chrI	9950	9951	21
chrI	9951	9954	20
chrI	9954	9963	19
chrI	9963	9966	18
chrI	9966	9977	17
chrI	9977	9984	16
chrI	9984	9990	15
chrI	9990	9991	14
chrI	9991	10001	13
chrI	10001	10007	12
chrI	10007	10008	11
chrI	10008	10012	10
chrI	10012	10024	9
chrI	10024	10038	8
chrI	10038	10044	7
chrI	10044	10076	6
chrI	10076	10078	5
chrI	10078	10081	4
chrI	10081	10085	3
chrI	10085	10090	2
chrI	11711	11798	1
chrI	11798	11800	4
chrI	11800	11820	5
chrI	11820	11886	4
chrI	11886	11902	3
chrI	11902	11903	2
chrI	11903	12016	1
chrI	23708	23741	1
chrI	23742	23766	1
chrI	24232	24361	1
chrI	28091	28094	1
chrI	28094	28194	2
chrI	28194	28203	4
chrI	28203	28204	3
chrI	28204	28216	4
chrI	28216	28327	2
chrI	28327	28342	1
chrI	33199	33200	2
chrI	33200	33220	3
chrI	33220	33296	4
chrI	33296	33432	2
chrI	33432	33447	1
chrI	36302	36304	11
chrI	36304	36370	12
chrI	36370	36380	11
chrI	36380	36381	10
chrI	36381	36386	9
chrI	36386	36389	8
chrI	36389	36416	7
chrI	36416	36421	6
chrI	36421	36422	4
chrI	36422	36457	7
chrI	36457	36501	8
chrI	36501	36506	6
chrI	36506	36507	4
chrI	36507	36508	3
chrI	37030	37143	1
chrI	37143	37147	2
chrI	37147	37165	3
chrI	37165	37207	2
chrI	37207	37209	3
chrI	37209	37215	4
chrI	37215	37216	17
chrI	37216	37219	18
chrI	37219	37268	19
chrI	37268	37277	20
chrI	37277	37281	19
chrI	37281	37308	20
chrI	37308	37315	21
chrI	37315	37325	18
chrI	37325	37327	15
chrI	37327	37328	14
chrI	37328	37331	13
chrI	37331	37344	12
chrI	37344	37363	11
chrI	37363	37364	10
chrI	37364	37365	9
chrI	37365	37371	8
chrI	37371	37411	7
chrI	37411	37421	6
chrI	37421	37422	5
chrI	37422	37445	3
chrI	37445	37458	2
chrI	37458	37463	1
chrI	39194	39201	1
chrI	39201	39259	2
chrI	39259	39261	1
chrI	45172	45270	1
chrI	45652	45653	1
chrI	45653	45655	4
chrI	45655	45656	5
chrI	45656	45733	6
chrI	45733	45745	5
chrI	45745	45747	4
chrI	45747	45758	3
chrI	45758	45760	2
chrI	45760	45874	1
chrI	48255	48315	1
chrI	48315	48316	9
chrI	48316	48317	10
chrI	48317	48358	11
chrI	48358	48386	12
chrI	48386	48388	13
chrI	48388	48402	14
chrI	48402	48415	15
