chrI	2147	2678	11
chrI	2678	2682	1
chrI	183246	183249	2
chrI	183249	183253	3
chrI	183253	183259	216
chrI	183259	183260	225
chrI	183260	183261	221
chrI	183261	183262	225
chrI	183262	183263	223
chrI	183263	183264	224
chrI	183264	183269	226
chrI	183269	183271	218
chrI	183271	183296	226
chrI	183296	183297	225
chrI	183297	183298	213
chrI	183298	183385	226
chrI	183385	183386	223
chrI	183386	183387	226
chrI	183387	183388	4
chrI	183388	183391	226
chrI	183391	183392	225
chrI	183392	183620	226
chrI	183620	183621	199
chrI	183621	183622	225
chrI	183622	183641	226
chrI	183641	183642	225
chrI	183642	183803	226
chrI	183803	183804	225
chrI	183804	183805	3
chrI	187710	187712	2
chrI	187712	187713	4
chrI	187713	187716	27
chrI	187716	187719	223
chrI	187719	187728	227
chrI	187728	187731	226
chrI	187731	187866	227
chrI	187866	187867	226
chrI	187867	187870	227
chrI	187870	187871	226
chrI	187871	187931	227
chrI	187931	187933	226
chrI	187933	187977	227
chrI	187977	187978	224
chrI	187978	187995	227
chrI	187995	187996	226
chrI	187996	188007	227
chrI	188007	188008	225
chrI	188008	188135	227
chrI	188135	188140	222
chrI	188140	188141	221
chrI	217446	217451	8
chrI	217452	217474	8
chrI	217476	217508	8
chrI	217508	217512	7
chrI	217512	217516	8
chrI	217516	217517	6
chrI	217517	217625	8
chrI	217625	217626	7
chrI	217626	218010	8
chrI	218010	218015	7
chrI	219428	219429	1
chrI	219429	219430	68
chrI	219430	219432	69
chrI	219432	219455	70
chrI	219455	219456	67
chrI	219456	219457	70
chrI	219457	219458	52
chrI	219458	219459	65
chrI	219459	219460	70
chrI	219460	219461	66
chrI	219461	219462	56
chrI	219462	219465	59
chrI	219465	219466	68
chrI	219466	219672	70
chrI	219672	219691	207
chrI	219691	219692	73
chrI	219692	219694	206
chrI	219694	219695	202
chrI	219695	219696	72
chrI	219696	219697	79
chrI	219697	219698	205
chrI	219698	219711	207
chrI	219711	219712	198
chrI	219712	219718	207
chrI	219718	219720	205
chrI	219720	219810	207
chrI	219810	219811	206
chrI	219811	219880	207
chrI	219880	219881	206
chrI	219881	219969	207
chrI	219969	219973	206
chrI	219973	220014	137
chrI	220014	220015	114
chrI	220015	220016	136
chrI	220016	220222	137
chrI	220222	220223	132
chrI	220223	220226	131
chrI	221884	222435	15
chrI	222435	222436	1
chrI	224825	224836	1
chrI	224836	224871	30
chrI	224871	224872	26
chrI	224872	224946	30
chrI	224946	224950	32
chrI	224950	225080	41
chrI	225080	225081	16
chrI	225081	225082	24
chrI	225082	225083	30
chrI	225083	225084	37
chrI	225084	225095	41
chrI	225095	225096	40
chrI	225096	225097	39
chrI	225097	225099	38
chrI	225099	225101	41
chrI	225101	225103	40
